炉号,c收得率,转炉终点温度,钢水净重,转炉终点C,石油焦增碳剂,碳化硅(55%)
7A06739             ,0.943282727,1667,71200,0.00045,78,132
7A06738             ,0.909509092,1651,66600,0.0005,78,132
7A06737             ,0.933535792,1666,74200,0.00085,51,132
7A06736             ,0.780075645,1609,73100,0.00062,85,132
7A06735             ,0.948011234,1656,73900,0.00071,68,132
7A06734             ,0.914638334,1655,72650,0.00065,68,132
7A06733             ,0.808126446,1666,64700,0.00078,68,132
7A06732             ,0.9325,1665,74600,0.00097,51,132
7A06730             ,0.846153846,1691,71500,0.00058,85,132
7A06729             ,0.94230099,1725,79850,0.00047,102,132
7A06728             ,0.827166089,1703,67450,0.00082,51,132
7A06727             ,0.942824357,1687,75150,0.00066,68,132
7A06726             ,0.97495066,1665,76000,0.00071,68,132
7A06725             ,0.885885886,1639,73750,0.00074,68,132
7A06724             ,0.860819748,1689,71300,0.00073,68,132
7A06723             ,0.932351577,1653,74450,0.00068,68,132
7A06722             ,0.914382768,1664,70500,0.00072,68,132
7A06721             ,0.898395598,1678,71550,0.00068,68,132
7A06720             ,0.950666563,1666,72150,0.0007,68,132
7A06719             ,0.860801989,0,68800,0.00069,68,132
7A06718             ,0.967982592,1682,72000,0.00067,68,132
7A06717             ,0.928014842,1674,73200,0.00076,68,132
7A06716             ,0.984601113,1804,73200,0.00066,68,132
7A06715             ,0.785732226,1673,71350,0.00059,95,132
7A06714             ,0.916477566,1682,71800,0.00042,92,132
7A06713             ,0.822116689,0,69350,0.00054,80,132
7A06712             ,0.899520087,1672,73550,0.00072,68,132
7A06710             ,0.878736175,1683,73000,0.00071,68,0
7A06709             ,0.950838446,1657,72650,0.00048,85,132
7A06707             ,0.799942476,0,70950,0.00073,68,132
7A06706             ,0.943492063,0,74300,0.00072,70,132
7A06705             ,0.830589886,0,72900,0.00075,60,0
7A06704             ,0.823409286,1677,75400,0.0007,68,0
7A06703             ,0.870602646,1710,76250,0.00077,68,0
7A06702             ,0.868256881,1672,70000,0.00051,75,132
7A06701             ,0.950281788,1684,74600,0.00065,68,132
7A06700             ,0.863863081,1679,72600,0.00084,60,132
7A06699             ,0.867382845,1686,72250,0.00085,58,132
7A06698             ,0.929441576,1680,72200,0.00065,51,0
7A06697             ,0.880523599,1680,72200,0.0007,51,0
7A06696             ,0.896699606,1673,73050,0.00061,68,132
7A06693             ,0.966479649,1639,71850,0.00037,82,132
7A06692             ,0.660442738,1656,72100,0.00071,85,0
7A06691             ,0.756425642,1802,71600,0.00066,85,0
7A06688             ,0.973360274,1672,72400,0.00067,68,132
7A06687             ,0.992080241,1645,75050,0.00069,68,132
7A06686             ,0.905380334,1663,73200,0.0007,68,132
7A06685             ,0.899840663,1674,74800,0.00079,64,132
7A06684             ,0.911968355,1692,73700,0.00047,85,132
7A06683             ,0.790908474,1662,69000,0.00068,68,132
7A06682             ,0.921369158,1668,74500,0.00066,68,132
7A06681             ,0.989786616,1664,69350,0.00077,58,132
7A06680             ,0.871215378,1664,73800,0.00067,85,132
7A06679             ,0.943013511,1658,72550,0.00088,54,132
7A06678             ,0.995888158,1799,75250,0.00067,68,132
7A06676             ,0.963914288,1660,69050,0.0005,95,88
7A06675             ,0.958335877,1641,73450,0.00069,68,132
7A06674             ,0.912820162,1686,74050,0.0005,85,132
7A06672             ,0.851967326,0,74550,0.00071,68,132
7A06671             ,0.809527837,1640,69200,0.00064,80,132
7A06670             ,0.889446171,1651,69950,0.0006,80,132
7A06669             ,0.880005624,1641,73200,0.00069,80,132
7A06668             ,0.79566051,1656,71550,0.00056,95,132
7A06667             ,0.838003839,1638,70800,0.00045,95,132
7A06666             ,0.837401575,1693,70900,0.00072,80,132
7A06665             ,0.88133279,1679,73300,0.00053,85,132
7A06664             ,0.958765373,1653,74550,0.0007,75,88
7A06663             ,0.918732113,1684,67050,0.00072,68,88
7A06662             ,0.99086684,1682,70850,0.00066,68,88
7A06661             ,0.932916357,1691,71700,0.00094,51,88
7A06659             ,0.952280744,1666,72300,0.00066,85,88
7A06658             ,0.977574813,1664,76300,0.00069,85,88
7A06655             ,0.983436993,1688,74600,0.00074,68,88
7A06654             ,0.94125263,1672,72700,0.00078,68,88
7A06653             ,0.905317955,1693,76100,0.00079,68,88
7A06652             ,0.870591738,1662,72200,0.00068,85,88
7A06651             ,0.917901122,1696,73450,0.00035,102,132
7A06650             ,0.857963814,1660,75900,0.00063,85,132
7A06649             ,0.851707765,1658,74600,0.00057,102,88
7A06648             ,0.930818276,1655,73300,0.00096,51,132
7A06647             ,0.934486803,1675,71600,0.00092,51,132
7A06645             ,0.966666667,1726,72500,0.00028,90,132
7A06644             ,0.851196174,1656,70250,0.00089,85,0
7A06643             ,0.888809131,1692,73800,0.00069,102,0
7A06642             ,0.870073655,1651,69400,0.00104,70,0
7A06641             ,0.906003374,1650,68200,0.00078,92,0
7A06639             ,0.810250811,1678,68800,0.00124,58,0
7A06638             ,0.867794558,1800,72750,0.00089,85,0
7A06637             ,0.978561234,1655,72900,0.00066,105,0
7A06636             ,0.717446676,1671,69400,0.00127,56,0
7A06635             ,0.871432331,1662,70500,0.00065,102,0
7A06634             ,0.980267655,0,71700,0.00081,85,0
7A06632             ,0.992349441,0,74650,0.00075,85,0
7A06631             ,0.994939355,1660,72350,0.0007,85,0
7A06629             ,0.950602614,1663,74000,0.0008,85,0
7A06628             ,0.854934684,0,69650,0.00069,102,0
7A06627             ,0.974430907,1639,72800,0.00074,85,0
7A06626             ,0.870739043,1655,72050,0.00079,85,0
7A06624             ,0.912437963,1645,72950,0.00054,102,0
7A06623             ,0.9783926,0,73100,0.00074,85,0
7A06622             ,0.922567691,1672,74850,0.00065,102,0
7A06621             ,0.857112915,1693,69950,0.00058,102,0
7A06618             ,0.970361172,1744,73650,0.00032,119,0
7A06616             ,0.963542499,1680,73900,0.0008,68,88
7A06615             ,0.86998066,1669,73800,0.00105,51,88
7A06614             ,0.965870023,1684,74450,0.00094,51,88
7A06613             ,0.97683089,1680,74000,0.00079,68,88
7A06612             ,0.902822804,1677,74150,0.00067,85,88
7A06610             ,0.952322204,1645,70800,0.00073,68,88
7A06609             ,0.878710648,1663,71150,0.00065,85,88
7A06607             ,0.942021366,1676,72250,0.00075,68,88
7A06606             ,0.965260759,1666,75550,0.00069,85,88
7A06604             ,0.853726109,1667,71600,0.00094,51,132
7A06603             ,0.834455446,1651,73500,0.00058,90,132
7A06602             ,0.92557422,1663,71050,0.0004,85,132
7A06600             ,0.948472268,1658,72300,0.00072,58,132
7A06599             ,0.967077006,1647,72050,0.00065,68,132
7A06598             ,0.928786852,1656,71750,0.00039,85,132
7A06596             ,0.91811958,1666,74900,0.00052,90,132
7A06595             ,0.966772391,1668,74000,0.00067,68,132
7A06593             ,0.999236796,1663,75100,0.00033,85,132
7A06592             ,0.87840634,1671,75800,0.00082,51,132
7A06591             ,0.989620361,1666,72500,0.00048,78,132
7A06590             ,0.884179073,1656,74450,0.0008,68,132
7A06589             ,0.962721848,1640,71100,0.00063,68,132
7A06588             ,0.860873577,1648,73650,0.00068,68,132
7A06587             ,0.897050949,1676,73750,0.00071,68,132
7A06586             ,0.925948088,1656,73550,0.00068,68,132
7A06585             ,0.949541004,1606,68200,0.00058,68,132
7A06584             ,0.921148256,1669,71250,0.00071,68,132
7A06583             ,0.862029529,1678,73650,0.00067,68,132
7A06582             ,0.967167795,1652,73550,0.00069,68,132
7A06581             ,0.979437229,1648,72400,0.00065,68,132
7A06580             ,0.80654892,1804,69850,0.00061,85,132
7A06579             ,0.928447984,1658,74050,0.00045,85,132
7A06577             ,0.905053908,1666,72600,0.00045,85,132
7A06576             ,0.930766603,1650,74850,0.00048,85,132
7A06575             ,0.944580777,1639,74500,0.00054,85,132
7A06574             ,0.878563656,1640,73400,0.00054,85,132
7A06573             ,0.877000682,1655,73100,0.00054,85,132
7A06572             ,0.925056062,1648,71950,0.00068,68,132
7A06571             ,0.936250881,1655,73400,0.00049,80,132
7A06570             ,0.947368421,1653,72000,0.00068,68,132
7A06569             ,0.758691207,1634,63600,0.00065,85,132
7A06568             ,0.944742927,1638,73500,0.00051,85,132
7A06567             ,0.904499438,1663,74800,0.00058,80,132
7A06566             ,0.861194202,1648,68050,0.00065,68,132
7A06565             ,0.853581327,1656,64300,0.00058,75,132
7A06564             ,0.90291381,1655,73750,0.0003,102,132
7A06563             ,0.945047588,1653,74600,0.00047,90,132
7A06562             ,0.861621842,1639,68650,0.00076,60,132
7A06561             ,0.859122181,1634,72900,0.00045,95,132
7A06560             ,0.969970255,1695,75500,0.00027,110,88
7A06559             ,0.916813909,1677,71100,0.00084,68,88
7A06558             ,0.936283398,1715,70600,0.00063,85,88
7A06557             ,0.821704451,1703,74850,0.00038,102,88
7A06556             ,0.93919598,1656,70350,0.00062,85,88
7A06554             ,0.990649569,1680,73700,0.00099,51,88
7A06550             ,0.965957249,1669,74200,0.00081,68,88
7A06549             ,0.905283882,1656,74050,0.00067,85,88
7A06544             ,0.918567127,1671,72550,0.00066,68,132
7A06543             ,0.998293688,1671,72650,0.00069,58,132
7A06542             ,0.956832435,1666,72700,0.00091,51,132
7A06541             ,0.87730507,1661,71600,0.001,51,132
7A06538             ,0.878536837,1691,64200,0.00073,60,132
7A06536             ,0.934885932,1681,70250,0.00058,75,132
7A06535             ,0.930182883,1679,73150,0.00052,78,132
7A06534             ,0.996407186,1677,75200,0.00032,95,132
7A06532             ,0.936345118,1725,73450,0.00036,90,132
7A06531             ,0.993022024,1668,74550,0.00054,70,132
7A06530             ,0.894405512,1683,72350,0.00063,80,88
7A06529             ,0.910148651,1674,71050,0.00033,98,88
7A06528             ,0.983635695,1644,72950,0.00065,75,88
7A06527             ,0.811878728,1654,69300,0.00065,93,88
7A06526             ,0.929036458,1629,71350,0.0007,75,88
7A06525             ,0.756983122,1672,67700,0.00061,93,88
7A06524             ,0.919186564,1800,76050,0.00067,85,88
7A06522             ,0.870576251,1688,70800,0.00061,75,132
7A06521             ,0.888785558,1662,73850,0.00065,75,132
7A06520             ,0.929318553,1647,72300,0.00051,85,132
7A06519             ,0.831270403,1667,71900,0.0005,85,132
7A06518             ,0.878137621,1654,73400,0.00073,68,132
7A06517             ,0.938960249,1689,73100,0.00071,68,132
7A06516             ,0.88902027,1803,69250,0.00021,100,132
7A06515             ,0.926288618,1663,74700,0.00094,51,132
7A06514             ,0.951508844,1682,71850,0.00094,34,132
7A06513             ,0.927429721,1715,73300,0.00042,85,132
7A06512             ,0.968389422,1651,73950,0.00079,51,132
7A06511             ,0.806618363,1680,74300,0.0009,51,132
7A06510             ,0.882413752,1653,74400,0.00062,102,0
7A06509             ,0.932585109,1652,74200,0.00055,85,132
7A06508             ,0.90159522,1671,72850,0.00067,68,132
7A06507             ,0.943682887,1673,75050,0.00067,68,132
7A06506             ,0.792683393,1684,71000,0.00074,68,132
7A06505             ,0.898607301,1659,71400,0.00063,68,132
7A06504             ,0.956567041,1676,78800,0.0011,34,132
7A06503             ,0.927650903,1647,77850,0.00073,68,132
7A06500             ,0.953347304,1641,67850,0.00045,102,0
7A06499             ,0.951302836,1671,71700,0.00043,119,0
7A06498             ,0.881272635,1662,72200,0.00068,102,0
7A06497             ,0.898494067,1651,73200,0.00057,119,0
7A06496             ,0.982973928,1645,71800,0.00049,110,0
7A06495             ,0.858240423,1682,71100,0.00072,100,0
7A06494             ,0.900158719,1682,70100,0.00059,102,0
7A06493             ,0.944849038,1663,74600,0.0005,112,0
7A06492             ,0.902918946,0,71900,0.0006,105,0
7A06491             ,0.900415456,1689,72150,0.00065,102,0
7A06490             ,0.916427323,1704,73650,0.00074,95,0
7A06489             ,0.859623838,1678,71100,0.00069,102,0
7A06488             ,0.956549815,1679,71650,0.00046,115,0
7A06487             ,0.656346448,1662,69350,0.00084,119,0
7A06486             ,0.917431288,1800,73650,0.00031,119,0
7A06485             ,0.855522412,1689,74900,0.001,90,0
7A06484             ,0.966068139,1666,71700,0.00073,85,0
7A06483             ,0.982229608,0,74600,0.00075,85,0
7A06482             ,0.847146865,1640,73700,0.00067,102,0
7A06479             ,0.87702034,1707,70500,0.00076,85,0
7A06478             ,0.932909506,1674,69050,0.00074,85,0
7A06477             ,0.753649002,0,70050,0.00075,102,0
7A06476             ,0.871112273,0,73400,0.00101,68,0
7A06475             ,0.846978427,1659,71050,0.00081,85,0
7A06474             ,0.778448033,1662,72700,0.00094,85,0
7A06473             ,0.780786961,1678,70550,0.00071,102,0
7A06472             ,0.799381763,1645,72650,0.00071,102,0
7A06471             ,0.843915344,1643,73950,0.00067,102,0
7A06470             ,0.802367118,1666,73000,0.00072,102,0
7A06469             ,0.926397167,1672,73150,0.00038,119,0
7A06468             ,0.710713019,1617,73450,0.00074,127,0
7A06467             ,0.777064378,1655,65600,0.00082,68,88
7A06466             ,0.910925493,1654,71000,0.00038,102,88
7A06465             ,0.943591048,1660,71350,0.00048,90,88
7A06464             ,0.855089355,1662,71000,0.00065,80,88
7A06463             ,0.861767779,1668,70850,0.00057,85,88
7A06462             ,0.936423441,1659,70100,0.00041,102,88
7A06461             ,0.967358448,1666,70300,0.00057,85,88
7A06460             ,0.761231398,1645,70450,0.00117,40,88
7A06459             ,0.878118093,1658,67500,0.00034,110,88
7A06458             ,0.890152061,1802,74000,0.00083,68,88
7A06457             ,0.907457698,1649,72400,0.0005,95,88
7A06456             ,0.856307947,1659,75050,0.00075,68,88
7A06455             ,0.934150816,1662,75900,0.00101,51,88
7A06454             ,0.822400154,1672,71500,0.00075,85,88
7A06453             ,0.849591789,1668,74500,0.0009,68,88
7A06451             ,0.829943429,1662,73750,0.00082,68,88
7A06450             ,0.892092181,1664,73000,0.00101,51,88
7A06449             ,0.78153979,1671,72450,0.00106,51,88
7A06448             ,0.814575348,1670,74650,0.00106,51,88
7A06445             ,0.839955276,1679,70950,0.00041,85,88
7A06444             ,0.853663407,1640,74050,0.00067,85,88
7A06443             ,0.818372126,1662,68050,0.00062,85,88
7A06440             ,0.847918273,1641,66250,0.00074,68,132
7A06439             ,0.819032382,1651,70350,0.00069,68,132
7A06438             ,0.86507133,1640,72300,0.00074,68,132
7A06437             ,0.914038343,1673,73900,0.0007,68,132
7A06436             ,0.859756098,1680,70500,0.00071,68,132
7A06435             ,0.935621521,1683,73800,0.00066,68,132
7A06434             ,0.775888454,0,70200,0.0009,54,132
7A06433             ,0.905690054,1671,75300,0.00074,68,132
7A06432             ,0.674049475,1666,67200,0.00072,85,132
7A06431             ,0.88233282,1679,73700,0.0008,54,132
7A06430             ,0.878113525,1693,72650,0.00072,68,132
7A06429             ,0.850065365,1674,72250,0.00077,68,132
7A06428             ,0.785031185,1694,70800,0.00076,68,132
7A06426             ,0.965353261,1651,71050,0.0005,85,88
7A06424             ,0.71804419,1638,70850,0.00079,110,88
7A06423             ,0.762513584,0,71000,0.00072,108,88
7A06422             ,0.873508242,1676,72350,0.00074,80,88
7A06421             ,0.811932795,1640,63600,0.00037,102,88
7A06420             ,0.891520633,1637,75100,0.00052,93,88
7A06419             ,0.923878994,1640,73650,0.00049,95,88
7A06418             ,0.915479423,1689,74700,0.00044,95,88
7A06416             ,0.783922842,1656,64450,0.00057,85,88
7A06415             ,0.883293781,1658,73150,0.00047,95,88
7A06414             ,0.905283882,1655,74050,0.00057,85,88
7A06413             ,0.883002588,1664,73100,0.00038,102,88
7A06411             ,0.854925663,1650,71250,0.00085,68,88
7A06410             ,0.839583019,1668,70000,0.00073,68,88
7A06409             ,0.800173671,1671,70900,0.00094,68,88
7A06408             ,0.778220989,1682,65550,0.00073,85,88
7A06407             ,0.800723667,0,71700,0.0008,85,88
7A06406             ,0.786767451,1672,68400,0.00091,68,88
7A06405             ,0.793322039,1677,70400,0.00093,68,88
7A06404             ,0.889915097,0,73000,0.00082,68,88
7A06403             ,0.980671771,1648,79200,0.00081,68,88
7A06402             ,0.930052281,1687,73700,0.00041,102,88
7A06401             ,0.873621025,1662,71800,0.00065,85,88
7A06400             ,0.904066479,1642,71050,0.00097,51,88
7A06399             ,0.895782841,1666,72800,0.00065,85,88
7A06398             ,0.983059475,1684,76350,0.00068,85,88
7A06397             ,0.996791571,1663,72300,0.00078,68,88
7A06396             ,0.936933289,1662,73900,0.00039,90,132
7A06395             ,0.908412753,1705,73200,0.00049,85,132
7A06394             ,0.937970518,1672,73550,0.00054,85,132
7A06392             ,0.969569826,1684,75700,0.00085,51,132
7A06391             ,0.952451148,1687,73500,0.00041,85,132
7A06390             ,0.820284996,0,69900,0.00086,68,132
7A06388             ,0.90290385,0,71550,0.00054,78,132
7A06387             ,0.899588316,1618,71700,0.00048,90,132
7A06384             ,0.815102897,1571,72100,0.00063,85,132
7A06383             ,0.776354723,1659,72100,0.00097,51,132
7A06382             ,0.816066711,1689,67700,0.00084,58,132
7A06381             ,0.885742848,1672,71100,0.00068,68,132
7A06380             ,0.901686508,1692,70150,0.00091,54,132
7A06377             ,0.908800901,1662,73550,0.00071,68,132
7A06376             ,0.96317351,1638,70500,0.00071,54,132
7A06375             ,0.986329815,1633,71250,0.0007,54,132
7A06372             ,0.9623125,1639,71200,0.00067,68,132
7A06371             ,0.85642291,1679,68450,0.00069,68,132
7A06370             ,0.993873655,1674,70700,0.00078,54,132
7A06369             ,0.949160709,1698,70600,0.00067,68,132
7A06368             ,0.994357414,1662,70300,0.00054,72,132
7A06367             ,0.82036734,1682,67750,0.00096,44,132
7A06365             ,0.790196443,1649,65150,0.00067,72,132
7A06364             ,0.849245211,1650,71600,0.00043,95,132
7A06363             ,0.921860851,1594,74900,0.00037,95,132
7A06362             ,0.95171836,1643,70650,0.00035,90,132
7A06361             ,0.952143704,1807,72650,0.00041,90,132
7A06360             ,0.923581848,1648,72050,0.00066,75,132
7A06359             ,0.879749554,1671,72750,0.00047,90,132
7A06358             ,0.889452083,1639,73050,0.00052,85,132
7A06357             ,0.828900138,0,68400,0.00072,68,132
7A06356             ,0.845568377,0,71750,0.00076,60,132
7A06355             ,0.912742539,1652,69550,0.00044,80,132
7A06354             ,0.952078775,1651,68700,0.0005,75,132
7A06353             ,0.821860847,1660,69950,0.00051,90,132
7A06351             ,0.980836376,1645,73150,0.00028,90,132
7A06350             ,0.887315735,1704,71500,0.00049,85,132
7A06349             ,0.952782701,1659,75500,0.00052,80,132
7A06348             ,0.857178645,1649,74050,0.00106,51,132
7A06347             ,0.9794975,1666,76550,0.00079,56,132
7A06346             ,0.937874465,1732,73050,0.00031,85,132
7A06345             ,0.883275006,1726,71400,0.00088,60,132
7A06344             ,0.855486773,1678,68250,0.00067,68,132
7A06343             ,0.868203753,1670,73600,0.00066,68,132
7A06341             ,0.842723822,1656,71200,0.00106,44,132
7A06340             ,0.886533331,1661,73900,0.00095,44,132
7A06338             ,0.900238388,1667,70100,0.00073,68,132
7A06337             ,0.809252089,1668,72200,0.00075,85,132
7A06336             ,0.946233947,1667,69900,0.00084,54,132
7A06335             ,0.91007107,1663,71850,0.00066,68,132
7A06334             ,0.966252588,1636,71800,0.00074,54,132
7A06331             ,0.880599907,1639,73300,0.00065,68,132
7A06329             ,0.90092144,1667,73850,0.00079,54,132
7A06328             ,0.909110573,1640,70050,0.0008,54,132
7A06327             ,0.973819,0,72150,0.00074,54,132
7A06326             ,0.936477987,1642,74450,0.00076,68,132
7A06325             ,0.835698218,1632,74300,0.0011,54,132
7A06324             ,0.967510845,0,71250,0.00076,54,132
7A06322             ,0.950037955,1666,70600,0.00035,96,88
7A06321             ,0.946020049,1656,73950,0.00059,85,88
7A06320             ,0.928066776,1637,72400,0.00058,85,88
7A06318             ,0.982111945,1631,74000,0.00046,90,88
7A06317             ,0.972693913,1633,71150,0.0005,90,88
7A06315             ,0.974494441,1710,74200,0.00054,85,88
7A06313             ,0.940133568,1671,71900,0.00044,95,88
7A06311             ,0.976206529,1642,74350,0.00045,92,88
7A06310             ,0.984333381,1676,76800,0.00051,90,88
7A06308             ,0.99656306,1660,74100,0.0005,85,88
7A06307             ,0.999058274,1686,74500,0.00062,85,88
7A06306             ,0.890447582,1666,72300,0.00066,85,88
7A06304             ,0.934191696,1679,71700,0.00081,68,88
7A06303             ,0.820741974,1683,74650,0.00065,85,88
7A06302             ,0.839347292,1668,76000,0.00085,68,88
7A06299             ,0.932749434,1682,70700,0.00075,68,88
7A06298             ,0.848522777,1669,73750,0.00075,68,88
7A06296             ,0.893828098,1688,72350,0.00064,85,88
7A06295             ,0.97758788,1713,74650,0.00033,102,88
7A06293             ,0.976234754,1698,74950,0.00067,85,88
7A06290             ,0.990613497,1671,72300,0.00029,85,132
7A06289             ,0.812264803,1668,64100,0.00065,68,132
7A06288             ,0.996447766,1680,73700,0.00079,58,132
7A06286             ,0.824435463,1659,66600,0.00103,34,132
7A06284             ,0.968431849,1684,68900,0.00055,70,132
7A06282             ,0.998295842,1648,72500,0.00038,85,132
7A06281             ,0.896422105,1676,63400,0.00076,68,88
7A06280             ,0.974548573,1675,73250,0.00067,85,88
7A06279             ,0.835777115,1679,64150,0.00067,85,88
7A06278             ,0.973486604,1663,72750,0.00078,68,88
7A06277             ,0.856100766,1656,70100,0.00083,68,88
7A06276             ,0.882853614,1667,72800,0.00068,85,88
7A06275             ,0.867563713,1668,73300,0.00095,51,88
7A06272             ,0.892362571,1656,73350,0.00068,85,88
7A06271             ,0.906437764,1684,71850,0.00081,68,88
7A06270             ,0.851560744,1661,63950,0.00076,68,88
7A06269             ,0.954513581,1650,71600,0.0009,51,88
7A06268             ,0.942581251,1679,72300,0.00103,51,88
7A06266             ,0.930767948,1662,70650,0.00082,58,132
7A06265             ,0.893684861,1651,71900,0.00069,68,132
7A06264             ,0.870284398,1675,71700,0.00093,51,132
7A06262             ,0.845991878,1662,70000,0.00068,68,132
7A06261             ,0.854631587,1668,69800,0.00062,76,132
