code,y,x1,x2,x3,x4,x5
7A06652             ,0.911970462,72200,0.0009,0,0,1550
7A06651             ,0.914721386,73450,0.0008,0,0,1560
7A06650             ,0.907083171,75900,0.0009,0,0,1550
7A06649             ,0.929152215,74600,0.0008,0,0,1584
7A06648             ,0.959264645,73300,0.0009,0,0,1450
7A06647             ,0.937017034,71600,0.0011,0,0,1450
7A06645             ,0.909889558,72500,0.0007,0,0,1500
7A06644             ,0.921468131,70250,0.0009,0,0,1550
7A06643             ,0.965568524,73800,0.0008,0,0,1600
7A06642             ,0.932188212,69400,0.0009,0,0,1480
7A06641             ,0.918991756,68200,0.0008,0,0,1520
7A06639             ,0.926354424,68800,0.0011,0,0,1510
7A06638             ,0.916347207,72750,0.0011,0,0,1650
7A06637             ,0.921444707,72900,0.0008,0,0,1680
7A06636             ,0.883346288,69400,0.0013,0,0,1550
7A06635             ,0.895849021,70500,0.001,0,0,1600
7A06634             ,0.897599774,71700,0.0008,0,0,1600
7A06632             ,0.913450678,74650,0.0008,0,0,1600
7A06631             ,0.926167169,72350,0.0008,0,0,1600
7A06629             ,0.905496988,74000,0.0009,0,0,1600
7A06628             ,0.9196237,69650,0.0009,0,0,1460
7A06627             ,0.95248494,72800,0.0008,0,0,1600
7A06626             ,0.92510909,72050,0.0007,0,0,1560
7A06624             ,0.922579742,72950,0.0008,0,0,1560
7A06623             ,0.922006777,73100,0.001,0,0,1600
7A06622             ,0.946340919,74850,0.0012,0,0,1620
7A06621             ,,69950,,0,0,1520
7A06618             ,,73650,,0,0,1645
7A06616             ,,73900,,0,0,1560
7A06615             ,,73800,,0,0,1539
7A06614             ,,74450,,0,0,1468
7A06613             ,,74000,,0,0,1516
7A06612             ,,74150,,0,0,1522
7A06610             ,,70800,,0,0,1473
7A06609             ,,71150,,0,0,1506
7A06607             ,,72250,,0,0,1600
7A06606             ,,75550,,0,0,1520
7A06604             ,,71600,,0,0,1500
7A06603             ,,73500,,0,0,1500
7A06602             ,,71050,,0,0,1450
7A06600             ,,72300,,0,0,1480
7A06599             ,,72050,,0,0,1500
7A06598             ,,71750,,0,0,1550
7A06596             ,,74900,,0,0,1610
7A06595             ,,74000,,0,0,1620
7A06593             ,,75100,,0,0,1580
7A06592             ,,75800,,0,0,1530
7A06591             ,,72500,,0,0,1540
7A06590             ,,74450,,0,0,1490
7A06589             ,,71100,,0,0,1520
7A06588             ,,73650,,0,0,1480
7A06587             ,,73750,,0,0,1520
7A06586             ,,73550,,0,0,1400
7A06585             ,,68200,,0,0,1520
7A06584             ,,71250,,0,0,1520
7A06583             ,,73650,,0,0,1520
7A06582             ,,73550,,0,0,1480
7A06581             ,,72400,,0,0,1440
7A06580             ,,69850,,0,0,1480
7A06579             ,,74050,,0,0,1550
7A06577             ,,72600,,0,0,1600
7A06576             ,,74850,,0,0,1480
7A06575             ,,74500,,0,0,1500
7A06574             ,,73400,,200,0,1320
7A06573             ,,73100,,200,0,1300
7A06572             ,,71950,,200,0,1500
7A06571             ,,73400,,200,0,1300
7A06570             ,,72000,,200,0,1320
7A06569             ,,63600,,200,0,1300
7A06568             ,,73500,,200,0,1320
7A06567             ,,74800,,200,0,1320
7A06566             ,,68050,,200,0,1300
7A06565             ,,64300,,200,0,1300
7A06564             ,,73750,,200,0,1320
7A06563             ,,74600,,200,0,1350
7A06562             ,,68650,,200,0,1300
7A06561             ,,72900,,200,0,1340
7A06560             ,,75500,,200,0,1330
7A06559             ,,71100,,0,0,1458
7A06558             ,,70600,,0,0,1498
7A06557             ,,74850,,0,0,2975
7A06556             ,,70350,,0,0,1490
7A06554             ,,73700,,0,0,1472
7A06550             ,,74200,,0,0,1526
7A06549             ,,74050,,0,0,1490
7A06544             ,,72550,,0,0,1450
7A06543             ,,72650,,0,0,1450
7A06542             ,,72700,,0,0,1450
7A06541             ,,71600,,0,0,1500
7A06538             ,,64200,,0,0,1450
7A06536             ,,70250,,0,0,1480
7A06535             ,,73150,,0,0,1500
7A06534             ,,75200,,0,0,1540
7A06532             ,,73450,,0,0,1540
7A06531             ,,74550,,0,0,1490
7A06530             ,,72350,,0,0,1400
7A06529             ,,71050,,0,0,1500
7A06528             ,,72950,,0,0,1410
7A06527             ,,69300,,0,0,1480
7A06526             ,,71350,,0,0,1440
7A06525             ,,67700,,0,0,1560
7A06524             ,,76050,,0,0,1580
7A06522             ,,70800,,0,0,1520
7A06521             ,,73850,,0,0,1500
7A06520             ,,72300,,0,0,1520
7A06519             ,,71900,,0,0,1520
7A06518             ,,73400,,0,0,1550
7A06517             ,,73100,,0,0,1570
7A06516             ,,69250,,0,0,1600
7A06515             ,,74700,,0,0,1451
7A06514             ,,71850,,0,0,1526
7A06513             ,,73300,,0,0,1611
7A06512             ,,73950,,0,0,1568
7A06511             ,,74300,,0,0,1569
7A06510             ,,74400,,0,0,1564
7A06509             ,,74200,,0,0,1518
7A06508             ,,72850,,0,0,1567
7A06507             ,,75050,,0,0,1445
7A06506             ,,71000,,0,0,1512
7A06505             ,,71400,,0,0,1625
7A06504             ,,78800,,0,0,1560
7A06503             ,,77850,,0,0,1570
7A06500             ,,67850,,0,0,1549
7A06499             ,,71700,,0,0,1550
7A06498             ,,72200,,0,0,1550
7A06497             ,,73200,,0,0,1550
7A06496             ,,71800,,0,0,1550
7A06495             ,,71100,,0,0,1550
7A06494             ,,70100,,0,0,1600
7A06493             ,,74600,,0,0,1550
7A06492             ,,71900,,0,0,1550
7A06491             ,,72150,,0,0,1530
7A06490             ,,73650,,0,0,1520
7A06489             ,,71100,,0,0,1570
7A06488             ,,71650,,0,0,1590
7A06487             ,,69350,,0,0,1710
7A06486             ,,73650,,0,0,1710
7A06485             ,,74900,,0,0,1600
7A06484             ,,71700,,0,0,1600
7A06483             ,,74600,,0,0,1660
7A06482             ,,73700,,0,0,1540
7A06479             ,,70500,,0,0,1520
7A06478             ,,69050,,0,0,1540
7A06477             ,,70050,,0,0,1610
7A06476             ,,73400,,0,0,1550
7A06475             ,,71050,,0,0,1560
7A06474             ,,72700,,0,0,1560
7A06473             ,,70550,,0,0,1610
7A06472             ,,72650,,0,0,1660
7A06471             ,,73950,,0,0,1600
7A06470             ,,73000,,0,0,1620
7A06469             ,,73150,,0,0,1710
7A06468             ,,73450,,0,0,1680
7A06467             ,,65600,,0,0,1460
7A06466             ,,71000,,0,0,1490
7A06465             ,,71350,,0,0,1460
7A06464             ,,71000,,0,0,1500
7A06463             ,,70850,,0,0,1530
7A06462             ,,70100,,0,0,1450
7A06461             ,,70300,,0,0,1470
7A06460             ,,70450,,0,0,1530
7A06459             ,,67500,,0,0,1550
7A06458             ,,74000,,0,0,1530
7A06457             ,,72400,,0,0,1530
7A06456             ,,75050,,0,0,1567
7A06455             ,,75900,,0,0,1467
7A06454             ,,71500,,0,0,1574
7A06453             ,,74500,,0,0,1563
7A06451             ,,73750,,0,0,1555
7A06450             ,,73000,,0,0,1511
7A06449             ,,72450,,0,0,1518
7A06448             ,,74650,,0,0,1447
7A06445             ,,70950,,0,0,3038
7A06444             ,,74050,,0,0,1454
7A06443             ,,68050,,0,0,1599
7A06440             ,,66250,,0,0,1460
7A06439             ,,70350,,0,0,1460
7A06438             ,,72300,,0,0,1500
7A06437             ,,73900,,0,0,1440
7A06436             ,,70500,,0,0,1500
7A06435             ,,73800,,0,0,1440
7A06434             ,,70200,,0,0,1540
7A06433             ,,75300,,0,0,1460
7A06432             ,,67200,,0,0,1550
7A06431             ,,73700,,0,0,1500
7A06430             ,,72650,,0,0,1520
7A06429             ,,72250,,0,0,1480
7A06428             ,,70800,,0,0,1470
7A06426             ,,71050,,0,0,1440
7A06424             ,,70850,,0,0,1580
7A06423             ,,71000,,0,0,1550
7A06422             ,,72350,,0,0,1530
7A06421             ,,63600,,0,0,1580
7A06420             ,,75100,,0,0,1520
7A06419             ,,73650,,0,0,1570
7A06418             ,,74700,,0,0,1530
7A06416             ,,64450,,0,0,1530
7A06415             ,,73150,,0,0,1510
7A06414             ,,74050,,0,0,1490
7A06413             ,,73100,,0,0,1550
7A06411             ,,71250,,0,0,1450
7A06410             ,,70000,,0,0,1551
7A06409             ,,70900,,0,0,1430
7A06408             ,,65550,,0,0,1426
7A06407             ,,71700,,0,0,1548
7A06406             ,,68400,,0,0,1450
7A06405             ,,70400,,0,0,1493
7A06404             ,,73000,,0,0,1483
7A06403             ,,79200,,0,0,1420
7A06402             ,,73700,,0,0,1497
7A06401             ,,71800,,0,0,1624
7A06400             ,,71050,,0,0,1450
7A06399             ,,72800,,0,0,1535
7A06398             ,,76350,,0,0,1505
7A06397             ,,72300,,0,0,1519
7A06396             ,,73900,,0,0,1450
7A06395             ,,73200,,0,0,1450
7A06394             ,,73550,,0,0,1450
7A06392             ,,75700,,0,0,1450
7A06391             ,,73500,,0,0,1450
7A06390             ,,69900,,0,0,1550
7A06388             ,,71550,,0,0,1470
7A06387             ,,71700,,0,0,1590
7A06384             ,,72100,,0,0,1560
7A06383             ,,72100,,0,0,1510
7A06382             ,,67700,,0,0,1520
7A06381             ,,71100,,200,0,1280
7A06380             ,,70150,,0,0,1440
7A06377             ,,73550,,200,0,1200
7A06376             ,,70500,,200,0,1260
7A06375             ,,71250,,200,0,1220
7A06372             ,,71200,,200,0,1160
7A06371             ,,68450,,200,0,1200
7A06370             ,,70700,,200,0,1200
7A06369             ,,70600,,200,0,1200
7A06368             ,,70300,,0,0,1340
7A06367             ,,67750,,0,0,1430
7A06365             ,,65150,,0,0,1510
7A06364             ,,71600,,0,0,1580
7A06363             ,,74900,,0,0,1530
7A06362             ,,70650,,0,0,1540
7A06361             ,,72650,,0,0,1520
7A06360             ,,72050,,0,0,1420
7A06359             ,,72750,,0,0,1490
7A06358             ,,73050,,0,0,1470
7A06357             ,,68400,,0,0,1500
7A06356             ,,71750,,0,0,1470
7A06355             ,,69550,,0,0,1490
7A06354             ,,68700,,0,0,1500
7A06353             ,,69950,,0,0,1550
7A06351             ,,73150,,0,0,1450
7A06350             ,,71500,,0,0,1450
7A06349             ,,75500,,0,0,1450
7A06348             ,,74050,,0,0,1600
7A06347             ,,76550,,0,0,1450
7A06346             ,,73050,,0,0,1530
7A06345             ,,71400,,0,0,1510
7A06344             ,,68250,,0,0,1480
7A06343             ,,73600,,0,0,1510
7A06341             ,,71200,,0,0,1580
7A06340             ,,73900,,0,0,1540
7A06338             ,,70100,,200,0,1280
7A06337             ,,72200,,0,0,1530
7A06336             ,,69900,,200,0,1200
7A06335             ,,71850,,200,0,1240
7A06334             ,,71800,,200,0,1240
7A06331             ,,73300,,200,0,1220
7A06329             ,,73850,,200,0,1220
7A06328             ,,70050,,200,0,1220
7A06327             ,,72150,,200,0,1220
7A06326             ,,74450,,200,0,1300
7A06325             ,,74300,,200,0,1220
7A06324             ,,71250,,200,0,1260
7A06322             ,,70600,,200,0,1350
7A06321             ,,73950,,200,0,1310
7A06320             ,,72400,,200,0,1340
7A06318             ,,74000,,200,0,1320
7A06317             ,,71150,,200,0,1340
7A06315             ,,74200,,200,0,1330
7A06313             ,,71900,,200,0,1250
7A06311             ,,74350,,200,0,1340
7A06310             ,,76800,,200,0,1380
7A06308             ,,74100,,200,0,1320
7A06307             ,,74500,,0,0,1455
7A06306             ,,72300,,0,0,1480
7A06304             ,,71700,,0,0,1520
7A06303             ,,74650,,0,0,3010
7A06302             ,,76000,,0,0,1532
7A06299             ,,70700,,0,0,1518
7A06298             ,,73750,,0,0,3043
7A06296             ,,72350,,0,0,1551
7A06295             ,,74650,,0,0,1536
7A06293             ,,74950,,0,0,1460
7A06290             ,,72300,,0,0,1500
7A06289             ,,64100,,0,0,1490
7A06288             ,,73700,,0,0,1400
7A06286             ,,66600,,0,0,1520
7A06284             ,,68900,,0,0,1460
7A06282             ,,72500,,0,0,1500
7A06281             ,,63400,,0,0,1430
7A06280             ,,73250,,0,0,1296
7A06279             ,,64150,,0,0,1458
7A06278             ,,72750,,0,0,1463
7A06277             ,,70100,,0,0,1422
7A06276             ,,72800,,0,0,1505
7A06275             ,,73300,,0,0,1514
7A06272             ,,73350,,0,0,1480
7A06271             ,,71850,,0,0,1289
7A06270             ,,63950,,0,0,1410
7A06269             ,,71600,,0,0,1479
7A06268             ,,72300,,0,0,1483
7A06266             ,,70650,,0,0,1450
7A06265             ,,71900,,0,0,1450
7A06264             ,,71700,,0,0,1430
7A06262             ,,70000,,0,0,1450
7A06261             ,,69800,,0,0,1450
7A06259             ,,68600,,0,0,1360
7A06257             ,,68200,,0,0,1420
7A06256             ,,69000,,0,0,1420
7A06255             ,,70000,,0,0,1480
7A06253             ,,68800,,0,0,1430
7A06251             ,,65700,,200,0,1260
7A06250             ,,70250,,200,0,1240
7A06249             ,,71000,,200,0,1240
7A06247             ,,69850,,200,0,1180
7A06246             ,,68450,,200,0,1200
7A06245             ,,67650,,200,0,1220
7A06244             ,,68850,,200,0,1240
7A06243             ,,69850,,200,0,1290
7A06242             ,,71600,,200,0,1300
7A06241             ,,72800,,200,0,1250
7A06240             ,,71150,,200,0,1230
7A06239             ,,68750,,200,0,1240
7A06238             ,,69750,,200,0,1250
7A06237             ,,69800,,200,0,1250
7A06235             ,,73200,,200,0,1280
7A06234             ,,71750,,200,0,1300
7A06233             ,,72100,,200,0,1340
7A06232             ,,74400,,200,0,1310
7A06231             ,,72850,,200,0,1330
7A06230             ,,73750,,200,0,1310
7A06229             ,,72200,,200,0,1310
7A06228             ,,71300,,200,0,1370
7A06227             ,,73950,,200,0,1450
7A06226             ,,76350,,200,0,1440
7A06225             ,,73850,,200,0,1440
7A06221             ,,69850,,0,0,1444
7A06220             ,,70400,,0,0,1468
7A06219             ,,72050,,0,0,1493
7A06218             ,,73150,,0,0,1521
7A06215             ,,70250,,0,0,1466
7A06214             ,,70200,,0,0,1487
7A06212             ,,70150,,0,0,1441
7A06211             ,,71250,,0,0,1516
7A06209             ,,73400,,0,0,1463
7A06206             ,,70050,,0,0,1450
7A06205             ,,71800,,0,0,1450
7A06204             ,,71950,,0,0,1450
7A06203             ,,70900,,0,0,1450
7A06201             ,,72400,,0,0,1550
7A06200             ,,75200,,0,0,1430
7A06198             ,,71850,,0,0,1370
7A06197             ,,68550,,0,0,1420
7A06196             ,,68600,,0,0,1520
7A06195             ,,65700,,200,0,1430
7A06194             ,,75800,,200,0,1340
7A06191             ,,72150,,200,0,1380
7A06189             ,,68550,,200,0,1430
7A06188             ,,77700,,200,0,1310
7A06187             ,,74350,,200,0,1310
7A06186             ,,71800,,200,0,1320
7A06185             ,,77400,,200,0,1310
7A06184             ,,75400,,200,0,1300
7A06183             ,,72400,,200,0,1300
7A06182             ,,79600,,0,0,1530
7A06181             ,,72500,,0,0,1600
7A06180             ,,76100,,0,0,1620
7A06179             ,,73600,,0,0,1443
7A06178             ,,68750,,0,0,1614
7A06177             ,,77100,,0,0,1624
7A06176             ,,73100,,0,0,1591
7A06175             ,,72600,,0,0,1616
7A06173             ,,73000,,0,0,1571
7A06171             ,,73200,,0,0,1536
7A06170             ,,71600,,0,0,1578
7A06169             ,,74400,,0,0,1574
7A06167             ,,70500,,0,0,1470
7A06165             ,,75000,,0,0,1450
7A06164             ,,73000,,0,0,1458
7A06163             ,,70950,,0,0,1500
7A06161             ,,69450,,0,0,1450
7A06160             ,,72900,,0,0,1450
7A06159             ,,71850,,0,0,1400
7A06158             ,,68300,,0,0,1530
7A06157             ,,74500,,0,0,1450
7A06156             ,,73450,,0,0,1450
7A06155             ,,71000,,0,0,1450
7A06152             ,,68350,,0,0,1450
7A06151             ,,70650,,0,0,1450
7A06149             ,,69400,,0,0,1420
7A06148             ,,68850,,200,0,1320
7A06146             ,,65650,,200,0,1350
7A06145             ,,74400,,200,0,1320
7A06143             ,,71350,,200,0,1300
7A06142             ,,73500,,200,0,1220
7A06141             ,,69450,,200,0,1180
7A06140             ,,70650,,200,0,1160
7A06139             ,,66700,,200,0,1370
7A06137             ,,66450,,200,0,1220
7A06136             ,,70400,,200,0,1240
7A06135             ,,70750,,200,0,1320
7A06134             ,,75200,,200,0,1320
7A06132             ,,69650,,200,0,1260
7A06131             ,,70500,,200,0,1180
7A06130             ,,66350,,200,0,1380
7A06128             ,,71100,,200,0,1260
7A06127             ,,70800,,200,0,1420
7A06125             ,,76050,,200,0,1250
7A06124             ,,72300,,200,0,1280
7A06123             ,,71600,,200,0,1280
7A06122             ,,70700,,200,0,1250
7A06121             ,,69800,,200,0,1310
7A06120             ,,74600,,200,0,1400
7A06117             ,,69550,,300,0,1247
7A06116             ,,74800,,300,0,1082
7A06115             ,,69250,,300,0,1258
7A06114             ,,74000,,300,0,1252
7A06112             ,,70150,,300,0,1179
7A06110             ,,71300,,0,0,1490
7A06109             ,,69750,,300,0,1190
7A06108             ,,73300,,300,0,1169
7A06107             ,,72350,,300,0,1140
7A06106             ,,71750,,300,0,1124
7A06105             ,,64700,,0,0,1117
7A06103             ,,73350,,0,0,1460
7A06101             ,,63450,,200,0,1260
7A06100             ,,70750,,200,0,1240
7A06099             ,,68650,,200,0,1230
7A06098             ,,71250,,200,0,1250
7A06097             ,,70400,,200,0,1130
7A06096             ,,65800,,200,0,1200
7A06095             ,,70300,,200,0,1260
7A06094             ,,71100,,200,0,1240
7A06093             ,,69200,,200,0,1260
7A06092             ,,72200,,200,0,1220
7A06091             ,,71250,,200,0,1200
7A06090             ,,72150,,200,0,1160
7A06089             ,,64000,,200,0,1380
7A06088             ,,69950,,200,0,1380
7A06087             ,,74050,,200,0,1380
7A06086             ,,71950,,200,0,1380
7A06085             ,,76450,,200,0,1210
7A06084             ,,71200,,200,0,1290
7A06083             ,,72750,,200,0,1340
7A06081             ,,69900,,200,0,1340
7A06080             ,,74650,,0,0,1620
7A06078             ,,71700,,200,0,1300
